Scientific_name,Order,Migratory01,CA,NB,CO,Nlat,Clutchsize,Clutchnum,Annfecund,avg_mass,open_fw,Dietsum,Foragesum,Bio1_mean,Bio1_std,Flight_rank,Wingload,Rangekm2,Signif_shift2
Butorides_virescens,Pelecaniformes,1,2.75,0.65,-2.23,49.2667,4,1,4,241,0,3,1,16.96835359,4.301983979,4,0.056877603,9444072.884,0
Calamospiza_melanocorys,Passeriformes,1,-2.37,-4.97,-2.92,44.0333,3.6,1,3.6,38.375,0,2,2,17.48188696,4.196826907,3,NA,3772577.819,0
Calcarius_lapponicus,Passeriformes,1,2.66,-4.72,-2.75,50.5167,4.91,1,4.91,27,0,2,1,9.937077778,3.298160433,3,0.072396828,16747667.83,0
Calcarius_mccownii,Passeriformes,1,0.44,-3.68,0.86,40.35,3.45,2,6.9,25.2,0,2,1,15.48008889,2.769799415,3,NA,2361018.136,0
Calcarius_ornatus,Passeriformes,1,2.77,2.38,1.3,45.4167,4.5,2,9,19.95,0,2,1,15.41586923,3.680027799,3,NA,3257982.691,1
Calcarius_pictus,Passeriformes,1,1.73,-5.01,0.21,38.45,3.88,1,3.88,27,0,2,1,15.51209,1.699750394,3,0.072818301,6040299.273,0
Calidris_minutilla,Charadriiformes,1,-5.44,-5.02,0.11,48.8167,4,1,4,18.25,0,3,2,17.33909826,3.805076221,3,0.08262022,25791734.77,0
Callipepla_californica,Galliformes,0,11.76,0.15,1.33,49.6667,13.3,1.5,19.95,174.2,0,3,1,12.7438875,3.239419082,NA,0.123622551,1274002.173,0
Callipepla_gambelii,Galliformes,0,0.48,11.13,0.15,39.1167,11,1.5,16.5,185.05,0,2,1,16.09965,4.022376068,NA,NA,543963.6134,1
Callipepla_squamata,Galliformes,1,-1.14,0.48,0.97,38.7833,12.4,1,12.4,184,0,4,1,15.6339069,3.810559744,NA,NA,1414259.044,0
Calypte_anna,Apodiformes,0,0.91,-1.87,-2.05,49.9667,2,2,4,4.25,0,2,2,14.35015062,3.682275694,1,NA,1271024.122,0
Campylorhynchus_brunneicapillus,Passeriformes,0,-0.67,3.78,-0.37,36.35,3.6,1.5,5.4,38.9,0,4,2,18.1060093,3.162629795,2,NA,1844393.972,1
Caprimulgus_carolinensis,Caprimulgiformes,1,4.14,5.15,1.83,30.0833,2,1,2,108.9,0,2,1,22.79895,1.501826942,3,0.051204581,3273997.932,1
Caprimulgus_vociferus,Caprimulgiformes,1,2.57,5.37,2.87,34.7667,2,2,4,52.95,0,1,1,21.69745556,2.142631697,3,0.051204581,4980555.063,1
Caracara_cheriway,Falconiformes,0,-3.61,-30.54,0.63,31.55,2,1,2,1168.35,0,2,3,21.73228333,1.397439767,4,0.062278366,4278276.251,0
Cardinalis_cardinalis,Passeriformes,0,2.36,-6.11,0.83,48.4,2.5,3,7.5,44.05,0,3,1,11.80289703,4.623997656,3,0.078648087,5833825.712,0
Cardinalis_sinuatus,Passeriformes,0,0.78,1.44,1.11,36.9,3.4,1,3.4,35.2,0,3,1,18.39126452,3.341905344,3,NA,1518755.83,1
Carduelis_lawrencei,Passeriformes,1,-2.9,5.46,-0.02,39.7,4.86,1,4.86,10.15,0,2,2,16.63332917,2.757500472,3,0.07303515,556938.6458,1
Carduelis_psaltria,Passeriformes,1,-1.37,0.07,-0.09,45.5167,4.5,1,4.5,9.745,0,2,1,14.79337048,3.63044787,3,0.072396828,4161651.123,0
Carduelis_tristis,Passeriformes,1,3.84,11.34,0.99,50.9167,5.2,1,5.2,NA,0,2,2,11.64728573,4.519924275,3,0.06998537,10571103.4,1
Carpodacus_cassinii,Passeriformes,1,2.32,0.86,1.71,49.5333,4.5,1,4.5,27.55,0,4,2,10.24166491,4.240692422,3,0.081110557,2814587.756,0
Carpodacus_purpureus,Passeriformes,1,2.54,16.11,2.29,53.5167,3.94,2,7.88,26.005,0,3,2,11.2101739,4.204373555,3,0.081110557,7952183.341,1
Cathartes_aura,Accipitriformes,1,-7.5,-25.31,-0.02,49.2667,1.94,1,1.94,1849,0,1,1,15.43820288,4.101531764,5,0.041254373,28199395.68,0
Catharus_guttatus,Passeriformes,1,2.83,3.5,-0.35,49.6667,4,1.5,6,29.2,0,2,3,13.31477095,4.357046976,NA,0.049738731,15387810.12,1
Catherpes_mexicanus,Passeriformes,0,2.93,0.45,2.72,49.5333,5.1,1.5,7.65,12.235,0,1,2,13.43485949,4.293467155,2,NA,4298193.469,0
