speciesname,RearEdge,Optimum,LeadingEdge,RelativeAbundance,TemperatureIndicator,NutrientIndicator,TerminalVelocity,RetInFurCattle,RetInFurSheep,GutSurvival,SeedReleaseHeight,Dispersal,LifeStrategy,LifeSpan,Dominance,NoOfVegOffspings,Persistence
Sibbaldia procumbens,145,-229,94,-0.08,1,3,3.04,1,9,0.001,4,2.255276204,css,15,2,1,-0.940042206
Silene acaulis s.lat.,9,-2,17,0.17,1,1,2.39,20,82,0.031,3,-0.184805113,css,300,3,4,4.193368911
Silene alpestris,190,535,184,0.9,3,2,1.13,35,75,0.073,20,-0.871437352,crs,2,2,1,-1.155880196
Silene rupestris,91,52,25,-0.34,2.5,2,1.65,20,81,0.03,20,-0.259074654,css,6,2,4,-0.051709138
Soldanella alpina,39,90,-159,1.03,2,3,2.55,24,88,0.041,13,-0.328127,css,6,2,1,-0.918384487
Soldanella minima agg.,240,570,88,1.52,1.5,2,2.62,30,94,0.056,21,-0.593273021,css,13,2,2,-0.553776749
Soldanella pusilla,120,-53,-50,0.25,1.5,2,2.21,39,99,0.089,8,-1.278849537,css,5,2,1,-0.96078558
Thesium alpinum,-107,-22,5,0.11,2,2,2.99,4,72,0.007,17,0.918345794,css,4,1,1,-1.237023185
Thlaspi rotundifolium,11,30,33,-0.21,1.5,2,2.63,8,57,0.011,23,1.023739451,css,6,3,6,1.157701161
Trifolium alpinum,190,135,72,-0.06,1.5,2,2.97,2,64,0.005,24,1.207761659,css,23,1,2,-0.742147161
Trifolium badium,-248,-211,-113,0.63,2,3,2.13,4,35,0.018,17,1.405404241,crs,3,2,4,-0.484795294
Trifolium thalii,-100,114,14,0.21,1.5,3,4.81,11,64,0.015,7,1.333364057,ccs,14,2,1,-0.437499901
Trisetum alpestre,-14,15,96,1,1.5,2,0.75,11,89,0.015,23,-0.361885996,ccs,25,2,2,0.056304553
Trollius europaeus,-66,125,47,0.39,2.5,3,3.22,12,67,0.017,42,1.008467904,ccs,28,2,2,0.230402687
Vaccinium myrtillus,-34,289,57,0.29,2.5,2,2.6,0,14,0.002,22,2.193133152,ccs,23,5,1,0.344994822
Vaccinium uliginosum agg.,173,-5,81,0.02,NA,2,3.23,9,1,0,26,2.382071375,ccs,43,3,3,1.234124416
Valeriana celtica,52,2,12,0.32,1,2,1.68,12,90,0.016,10,-0.222014033,css,13,2,2,-0.553776749
Valeriana montana,-478,-72,75,0.6,2,2,1.07,10,87,0.014,40,-0.037225056,css,6,3,1,-0.244314981
Valeriana tripteris,-179,-246,267,0.13,2.5,2,2.23,12,91,0.017,35,0.134221588,css,7,2,1,-0.906549545
Veronica alpina,-19,57,-8,0,1.5,2,1,39,99,0.091,7,-1.673793103,css,2,2,4,-0.310692654
Veronica aphylla,221,-273,-131,1.39,1.5,2,1.31,34,97,0.07,6,-1.350591183,css,2,2,1,-0.84865144
Veronica bellidioides,244,18,11,-0.34,1,2,1.52,34,96,0.068,13,-1.204141857,css,4,2,1,-1.010921837
Veronica fruticans,81,-260,90,0.31,1.5,2,1.99,30,94,0.057,10,-0.8832946,css,8,2,6,0.417576802
Veronica serpyllifolia,-321,26,99,0.33,3.5,4,1.52,43,100,0.111,14,-1.63413011,crs,3,3,1,-0.380863587
Viola biflora,54,-13,42,0.6,2,4,3.01,16,75,0.023,12,0.379170712,css,2,3,1,-0.24992302
Viola calcarata,33,25,24,0.25,1.5,2,1.97,22,81,0.154,7,-0.443906548,ccs,7,3,1,0.280815347
